Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
M15_KNP,F50_KNP,HS,-50.52,,1.22,-,1.68,9999
M15_KNP,F51_KNP,HS,-56.36,,1.82,-,1.74,9999
M15_KNP,M33_KNP,HS,-50.9,,1.1,-,0.11,9999
M15_KNP,M34_KNP,U,-60.79,,-,3.29,8.31,9999
M15_KNP,M35_KNP,U,-46.07,,-,0.79,3.49,9999
M15_KNP,M37_KNP,U,-56.17,,-,2.24,5.43,9999
M15_KNP,M38_KNP,PO,-46.66,,2.94,0.87,1.57,-
M15_KNP,M39_KNP,FS,-46.46,,3.11,1.07,-,9999
M15_KNP,M40_KNP,U,-55.93,,-,1.98,5.54,9999
M15_KNP,M41_KNP,U,-56.47,,-,0.33,4.16,9999
M15_KNP,M42_KNP,U,-54.14,,-,4.35,9.59,9999
M15_KNP,M43_KNP,U,-54.06,,-,4.45,10.07,9999
M15_KNP,M44_KNP,U,-54.38,,-,0.5,4.07,9999
M15_KNP,M45_KNP,U,-56.65,,-,2.06,5.67,9999
M15_KNP,M46_KNP,U,-54.33,,-,0.58,4.36,9999
M15_KNP,M47_KNP,U,-57.04,,-,3.72,9.08,9999
M15_KNP,M48_KNP,U,-54.99,,-,2.92,6.99,9999
M15_KNP,M49_KNP,HS,-46.55,,0.5,-,1.77,0.98
M15_KNP,M50_KNP,U,-61.56,,-,5.18,10.97,9999
M15_KNP,M51_KNP,U,-45.82,,-,0.17,2,9999
M15_KNP,M53_KNP,U,-54.69,,-,2.79,7.04,9999
M15_KNP,M54_KNP,U,-45.61,,-,2.68,6.6,9999
M15_KNP,M55_KNP,U,-54.89,,-,3.13,7.85,9999
M15_KNP,M56_KNP,HS,-43.29,,0.67,-,1.43,9999
M15_KNP,M57_KNP,HS,-46.6,,1.39,-,1.38,9999
M15_KNP,M58_KNP,U,-54.17,,-,2.22,6.96,9999
M15_KNP,M61_KNP,U,-57.22,,-,2.69,7.78,9999
M15_KNP,M62_KNP,U,-49.85,,-,0.45,2.83,9999
M15_KNP,M63_KNP,U,-74.56,,-,2.58,8.42,9999
M15_KNP,M65_KNP,U,-56.36,,-,3.19,7.89,9999
M15_KNP,M66_KNP,U,-51.77,,-,1.6,4.79,9999
M15_KNP,M67_KNP,U,-53.9,,-,1.36,3.8,9999
M15_KNP,M68_KNP,U,-53.57,,-,2.61,7,9999
M15_KNP,M69_KNP,U,-44.05,,-,2.13,6.02,9999
M15_KNP,M70_KNP,PO,-50.43,,4.02,1.31,2.95,-
M15_KNP,M73_KNP,U,-53,,-,2.35,6.59,9999
M15_KNP,M1_KNP,U,-48.02,,-,1.82,4.56,9999
M15_KNP,M2_KNP,U,-48.14,,-,4.05,9.45,9999
M15_KNP,M3_KNP,U,-55.14,,-,2.23,6.57,9999
M15_KNP,M4_KNP,U,-51.77,,-,3.37,8.2,9999
M15_KNP,M5_KNP,U,-50.54,,-,2.04,6.52,9999
M15_KNP,M6_KNP,U,-55.41,,-,4.92,11.09,9999
M15_KNP,M7_KNP,U,-49.65,,-,3.25,7.7,9999
M15_KNP,M8_KNP,U,-63.82,,-,3.54,9.22,9999
M15_KNP,M9_KNP,U,-55.64,,-,1.42,2.94,9999
M15_KNP,M10_KNP,U,-52.96,,-,0.63,3.36,9999
M15_KNP,M11_KNP,HS,-47.09,,1.02,-,1.12,9999
M15_KNP,M12_KNP,U,-50.27,,-,4.45,9.86,9999
M15_KNP,M13_KNP,U,-48.19,,-,0.95,3.9,9999
M15_KNP,M14_KNP,U,-58.67,,-,2.17,6.71,9999
M16_KNP,F13_KNP,U,-45.09,,-,1.43,4.54,9999
M16_KNP,F14_KNP,HS,-43.18,,0.39,-,2.2,9999
M16_KNP,F15_KNP,U,-47.83,,-,2.6,6.89,9999
M16_KNP,F16_KNP,U,-39.07,,-,0.21,2.74,9999
M16_KNP,F17_KNP,U,-51.04,,-,2.15,6.97,9999
M16_KNP,F18_KNP,U,-49.61,,-,1.55,5.92,9999
M16_KNP,F19_KNP,U,-45.34,,-,2.14,6.3,9999
M16_KNP,F20_KNP,U,-46.06,,-,0.38,3.17,9999
M16_KNP,F21_KNP,U,-45.5,,-,3.27,8.08,9999
M16_KNP,F22_KNP,U,-47.76,,-,3,7.76,9999
M16_KNP,F23_KNP,U,-43.6,,-,1.84,5.69,9999
M16_KNP,F24_KNP,U,-53.08,,-,4.44,10.65,9999
M16_KNP,F25_KNP,U,-40.93,,-,0.71,3.12,9999
M16_KNP,F26_KNP,U,-52.73,,-,0.76,4.62,9999
M16_KNP,F27_KNP,U,-44.73,,-,1.03,2.81,9999
M16_KNP,F28_KNP,U,-41.92,,-,1.42,4.47,9999
M16_KNP,F29_KNP,HS,-41.17,,0.57,-,2.71,9999
M16_KNP,F30_KNP,U,-50.95,,-,0.28,2.98,9999
M16_KNP,F31_KNP,U,-50.42,,-,2.32,5.38,9999
M16_KNP,F32_KNP,U,-44.65,,-,2.61,6.68,9999
M16_KNP,F33_KNP,U,-53.76,,-,0.75,3.99,9999
M16_KNP,F34_KNP,U,-50.59,,-,3.72,9.07,9999
M16_KNP,F35_KNP,HS,-42.1,,0.68,-,0.33,9999
M16_KNP,F36_KNP,U,-40.82,,-,2.79,7.9,9999
M16_KNP,F37_KNP,U,-49.08,,-,0.92,3.84,9999
M16_KNP,F38_KNP,HS,-37.27,,1.26,-,0.29,9999
M16_KNP,F40_KNP,U,-37,,-,0.11,2.09,9999
M16_KNP,F41_KNP,U,-43.22,,-,1.39,5.5,9999
M16_KNP,F42_KNP,U,-38.55,,-,1.16,3.91,9999
M16_KNP,F43_KNP,U,-38.88,,-,0.2,1.96,9999
M16_KNP,F44_KNP,U,-48.4,,-,1.63,3.41,9999
M16_KNP,F45_KNP,HS,-38.75,,0.52,-,1.35,9999
M16_KNP,F46_KNP,HS,-46.4,,0.12,-,2.17,9999
M16_KNP,F47_KNP,U,-42.1,,-,1.4,4.44,9999
M16_KNP,F48_KNP,U,-47.47,,-,0.89,3.57,9999
M16_KNP,F49_KNP,HS,-49.47,,0.54,-,1.57,9999
M16_KNP,F50_KNP,U,-46.35,,-,1.27,4.84,9999
M16_KNP,F51_KNP,U,-52.79,,-,3.92,8.97,9999
M16_KNP,M33_KNP,U,-46.6,,-,1.9,5.41,9999
M16_KNP,M34_KNP,U,-55.4,,-,3.87,9.78,9999
M16_KNP,M35_KNP,U,-40.67,,-,3.1,7.42,9999
M16_KNP,M37_KNP,U,-50.78,,-,1.3,4.31,9999
M16_KNP,M38_KNP,U,-44.21,,-,1.22,4.92,9999
M16_KNP,M39_KNP,U,-44.17,,-,0.29,2.2,9999
M16_KNP,M40_KNP,U,-50.54,,-,1.55,4.73,9999
M16_KNP,M41_KNP,U,-51.08,,-,1.9,6.04,9999
M16_KNP,M42_KNP,U,-48.75,,-,0.98,3.51,9999
M16_KNP,M43_KNP,U,-48.36,,-,1.01,3.39,9999
M16_KNP,M44_KNP,U,-48.99,,-,1.82,5.03,9999
M16_KNP,M45_KNP,U,-51.26,,-,0.15,3.89,9999
M16_KNP,M46_KNP,U,-48.93,,-,2.39,6.04,9999
M16_KNP,M47_KNP,U,-51.64,,-,1.38,4.13,9999
M16_KNP,M48_KNP,U,-49.59,,-,1.93,5.44,9999
M16_KNP,M49_KNP,U,-41.65,,-,0.51,3.89,9999
M16_KNP,M50_KNP,U,-56.16,,-,2.96,8.43,9999
M16_KNP,M51_KNP,U,-40.43,,-,1.54,5.15,9999
M16_KNP,M53_KNP,U,-49.3,,-,0.6,2.91,9999
M16_KNP,M54_KNP,U,-40.22,,-,1.49,4.41,9999
M16_KNP,M55_KNP,U,-49.5,,-,1.12,3.74,9999
M16_KNP,M56_KNP,U,-38.57,,-,1.56,5.02,9999
M16_KNP,M57_KNP,U,-42.59,,-,1.62,5.29,9999
M16_KNP,M58_KNP,U,-48.77,,-,2.55,7.44,9999
M16_KNP,M61_KNP,U,-51.83,,-,2.73,7.14,9999
M16_KNP,M62_KNP,U,-44.46,,-,2.24,6.41,9999
M16_KNP,M63_KNP,U,-69.16,,-,4.07,10.54,9999
M16_KNP,M65_KNP,U,-50.97,,-,2.4,6.78,9999
M16_KNP,M66_KNP,U,-46.37,,-,0.41,3.04,9999
M16_KNP,M67_KNP,U,-48.5,,-,1.82,4.85,9999
M16_KNP,M68_KNP,U,-48.18,,-,0.04,2.47,9999
M16_KNP,M69_KNP,HS,-36.68,,1.6,-,0.48,9999
M16_KNP,M70_KNP,HS,-48.52,,0.54,-,1.9,9999
M16_KNP,M73_KNP,HS,-46.51,,1.1,-,1.87,9999
M16_KNP,M1_KNP,HS,-42.52,,0.11,-,1.68,9999
M16_KNP,M2_KNP,U,-42.75,,-,1.64,4.6,9999
M16_KNP,M3_KNP,U,-49.75,,-,4.28,10.24,9999
M16_KNP,M4_KNP,HS,-45.68,,0.7,-,2.53,9999
M16_KNP,M5_KNP,U,-45.15,,-,1.68,4.65,9999
M16_KNP,M6_KNP,U,-50.01,,-,0.8,3.58,9999
M16_KNP,M7_KNP,FS,-42.57,,1.69,0.37,-,9999
M16_KNP,M8_KNP,U,-58.43,,-,2.04,6.28,9999
M16_KNP,M9_KNP,U,-50.25,,-,0.95,4,9999
M16_KNP,M10_KNP,U,-47.57,,-,3.03,7.8,9999
M16_KNP,M11_KNP,U,-42.72,,-,2.14,6.71,9999
M16_KNP,M12_KNP,U,-44.87,,-,0.54,3.19,9999
M16_KNP,M13_KNP,HS,-42.02,,0.78,-,0.67,9999
M16_KNP,M14_KNP,FS,-52.41,,0.87,0.06,-,9999
M16_KNP,M15_KNP,U,-49.72,,-,1.53,5.39,9999
M17_KNP,F13_KNP,U,-45.12,,-,2.63,6.8,9999
M17_KNP,F14_KNP,U,-43.6,,-,2.23,6.01,9999
M17_KNP,F15_KNP,U,-47.87,,-,1.22,4.79,9999
M17_KNP,F16_KNP,U,-39.1,,-,0.39,1.95,9999
M17_KNP,F17_KNP,U,-51.07,,-,3.32,8.62,9999
M17_KNP,F18_KNP,U,-49.64,,-,3.04,7.56,9999
M17_KNP,F19_KNP,U,-45.38,,-,0.81,2.41,9999
M17_KNP,F20_KNP,HS,-44.62,,1.47,-,0.43,9999
M17_KNP,F21_KNP,U,-45.53,,-,1.69,5.41,9999
M17_KNP,F22_KNP,U,-47.8,,-,0.43,3.97,9999
M17_KNP,F23_KNP,HS,-43.22,,0.41,-,1.93,9999
M17_KNP,F24_KNP,U,-53.11,,-,1.36,4.39,9999
M17_KNP,F25_KNP,HS,-40.71,,0.25,-,2.12,0.51
M17_KNP,F26_KNP,HS,-52.12,,0.64,-,2.42,9999
M17_KNP,F27_KNP,U,-44.77,,-,0.93,4.04,9999
M17_KNP,F28_KNP,U,-41.95,,-,0.17,1.91,9999
M17_KNP,F29_KNP,HS,-41.44,,0.34,-,1.22,9999
M17_KNP,F30_KNP,U,-50.99,,-,0.91,4.46,9999
M17_KNP,F31_KNP,U,-50.46,,-,2.45,6.69,9999
M17_KNP,F32_KNP,U,-44.68,,-,0.88,2.69,9999
M17_KNP,F33_KNP,HS,-52.98,,0.81,-,1.93,9999
M17_KNP,F34_KNP,HS,-50.41,,0.21,-,3.15,0.22
M17_KNP,F35_KNP,PO,-35.63,,7.18,2.75,0.7,-
M17_KNP,F36_KNP,HS,-40.49,,0.37,-,2.24,9999
M17_KNP,F37_KNP,U,-49.02,,-,1.25,4.91,9999
M17_KNP,F38_KNP,U,-38.56,,-,1.23,4.13,9999
M17_KNP,F40_KNP,HS,-36.72,,0.32,-,0.74,9999
M17_KNP,F41_KNP,HS,-43.05,,0.2,-,1.79,9999
M17_KNP,F42_KNP,HS,-37.9,,0.68,-,0.47,9999
M17_KNP,F43_KNP,U,-38.91,,-,0.14,1.78,9999
M17_KNP,F44_KNP,U,-48.44,,-,0.64,3.85,9999
M17_KNP,F45_KNP,U,-39.31,,-,1.01,3.84,9999
M17_KNP,F46_KNP,FS,-43.44,,3.11,0.25,-,9999
M17_KNP,F47_KNP,U,-42.13,,-,0.62,3.34,9999
M17_KNP,F48_KNP,U,-47.51,,-,1.95,4.43,9999
M17_KNP,F49_KNP,U,-50.04,,-,2.43,5.64,9999
M17_KNP,F50_KNP,U,-46.38,,-,3.74,9.21,9999
M17_KNP,F51_KNP,U,-52.82,,-,4.31,10.13,9999
M17_KNP,M33_KNP,U,-46.64,,-,0.94,3.48,9999
M17_KNP,M34_KNP,U,-55.43,,-,3.09,7.41,9999
M17_KNP,M35_KNP,HS,-40.6,,0.11,-,0.19,9999
M17_KNP,M37_KNP,U,-50.81,,-,2.95,6.58,9999
M17_KNP,M38_KNP,U,-44.24,,-,2.05,5.73,9999
M17_KNP,M39_KNP,U,-44.21,,-,1.74,5.51,9999
M17_KNP,M40_KNP,U,-50.57,,-,2.7,7.96,9999
M17_KNP,M41_KNP,U,-51.11,,-,4.11,9.4,9999
M17_KNP,M42_KNP,U,-48.78,,-,1.28,3.61,9999
M17_KNP,M43_KNP,HS,-47.1,,1.6,-,0.81,9999
M17_KNP,M44_KNP,U,-49.02,,-,1.69,4.92,9999
M17_KNP,M45_KNP,HS,-50.04,,1.25,-,2.46,9999
M17_KNP,M46_KNP,U,-48.97,,-,2.66,6.99,9999
M17_KNP,M47_KNP,U,-51.68,,-,3.3,7.83,9999
M17_KNP,M48_KNP,HS,-48.99,,0.64,-,2.29,0.2
M17_KNP,M49_KNP,HS,-40.53,,1.15,-,0.68,9999
M17_KNP,M50_KNP,U,-56.2,,-,2.42,6.72,9999
M17_KNP,M51_KNP,U,-40.46,,-,0.49,3.14,9999
M17_KNP,M53_KNP,U,-49.33,,-,1.59,5.93,9999
M17_KNP,M54_KNP,HS,-40.04,,0.21,-,0.78,9999
M17_KNP,M55_KNP,U,-49.53,,-,1.25,3.54,9999
M17_KNP,M56_KNP,U,-38.6,,-,1.25,3.54,9999
M17_KNP,M57_KNP,U,-42.63,,-,2.24,5.19,9999
M17_KNP,M58_KNP,U,-48.81,,-,1.5,3.43,9999
M17_KNP,M61_KNP,U,-51.86,,-,1.32,4.06,9999
M17_KNP,M62_KNP,U,-44.49,,-,1.26,4.28,9999
M17_KNP,M63_KNP,U,-69.2,,-,6.27,13.62,9999
M17_KNP,M65_KNP,U,-51,,-,1.02,4.81,9999
M17_KNP,M66_KNP,U,-46.41,,-,1.03,3.43,9999
M17_KNP,M67_KNP,U,-48.54,,-,1.21,5.2,9999
M17_KNP,M68_KNP,HS,-47.04,,1.17,-,2.35,9999
M17_KNP,M69_KNP,HS,-37.87,,0.35,-,1.76,9999
M17_KNP,M70_KNP,U,-49.1,,-,0.86,3.12,9999
M17_KNP,M73_KNP,FS,-47.09,,0.55,0.13,-,9999
M17_KNP,M1_KNP,U,-42.66,,-,2.64,5.63,9999
M17_KNP,M2_KNP,HS,-41.84,,0.95,-,1.47,9999
M17_KNP,M3_KNP,U,-49.78,,-,2.12,6.14,9999
M17_KNP,M4_KNP,U,-46.41,,-,1.5,4.86,9999
M17_KNP,M5_KNP,HS,-44.74,,0.44,-,1.5,9999
M17_KNP,M6_KNP,U,-50.05,,-,0.76,2.97,9999
M17_KNP,M7_KNP,U,-44.3,,-,0.05,1.62,9999
M17_KNP,M8_KNP,U,-58.46,,-,2.67,7.75,9999
M17_KNP,M9_KNP,U,-50.28,,-,2.49,6.95,9999
M17_KNP,M10_KNP,U,-47.61,,-,1.76,5.3,9999
M17_KNP,M11_KNP,U,-42.76,,-,1.68,4.91,9999
M17_KNP,M12_KNP,U,-44.91,,-,2.18,6.25,9999
M17_KNP,M13_KNP,U,-42.83,,-,0.32,3.16,9999
M17_KNP,M14_KNP,HS,-53.17,,0.14,-,2.76,9999
M17_KNP,M15_KNP,U,-49.76,,-,2.46,6.9,9999
M17_KNP,M16_KNP,HS,-43.83,,0.53,-,1.56,9999
M18_KNP,F13_KNP,U,-41.94,,-,1.13,3.97,9999
M18_KNP,F14_KNP,U,-40.42,,-,0.31,2.41,9999
M18_KNP,F15_KNP,HS,-43.8,,0.89,-,0.7,9999
M18_KNP,F16_KNP,U,-35.92,,-,0.09,1.82,0.81
M18_KNP,F17_KNP,U,-47.89,,-,0.24,3.17,9999
M18_KNP,F18_KNP,U,-46.46,,-,0.54,3.46,9999
M18_KNP,F19_KNP,U,-42.19,,-,2.04,5.33,9999
M18_KNP,F20_KNP,HS,-42.01,,0.9,-,1.62,9999
M18_KNP,F21_KNP,PO,-40.64,,1.71,0.19,1.16,-
M18_KNP,F22_KNP,U,-44.61,,-,0.32,1.63,9999
M18_KNP,F23_KNP,U,-40.45,,-,0.09,1.76,1.47
M18_KNP,F24_KNP,U,-49.93,,-,3.59,7.71,9999
M18_KNP,F25_KNP,U,-37.78,,-,0.25,0.65,9999
M18_KNP,F26_KNP,U,-49.58,,-,3.93,9.24,9999
M18_KNP,F27_KNP,U,-41.58,,-,1.63,5.5,9999
M18_KNP,F28_KNP,PO,-34.32,,4.44,1.84,0.74,-
M18_KNP,F29_KNP,HS,-38.52,,0.08,-,0.14,9999
M18_KNP,F30_KNP,HS,-47.57,,0.23,-,0.44,9999
M18_KNP,F31_KNP,U,-47.27,,-,1.09,3.2,9999
M18_KNP,F32_KNP,PO,-38.82,,2.68,0.74,0.75,-
M18_KNP,F33_KNP,U,-50.61,,-,1.4,5.03,9999
M18_KNP,F34_KNP,HS,-47.04,,0.4,-,0.73,9999
M18_KNP,F35_KNP,U,-39.62,,-,0.7,2.9,1.86
M18_KNP,F36_KNP,HS,-37.14,,0.54,-,0.68,9999
M18_KNP,F37_KNP,U,-46.58,,-,3.01,7.36,9999
M18_KNP,F38_KNP,PO,-33.82,,1.56,0.65,0.84,-
M18_KNP,F40_KNP,HS,-33.47,,0.39,-,0.33,0.01
M18_KNP,F41_KNP,U,-40.07,,-,1.01,3.37,2.87
M18_KNP,F42_KNP,PO,-34.31,,1.09,0.4,1.35,-
M18_KNP,F43_KNP,PO,-35.13,,0.6,0.05,1.14,-
M18_KNP,F44_KNP,U,-45.25,,-,1.42,4.93,9999
M18_KNP,F45_KNP,PO,-35.2,,0.92,0.28,1.26,-
M18_KNP,F46_KNP,U,-43.37,,-,2.32,5.32,9999
M18_KNP,F47_KNP,HS,-38.92,,0.02,-,1.67,0.5
M18_KNP,F48_KNP,U,-44.32,,-,0.04,1.98,9999
M18_KNP,F49_KNP,U,-46.86,,-,2.09,5.76,9999
M18_KNP,F50_KNP,PO,-37.45,,5.75,2.16,0.48,-
M18_KNP,F51_KNP,U,-49.64,,-,1.6,5.91,9999
M18_KNP,M33_KNP,U,-43.46,,-,1.96,5.94,9999
M18_KNP,M34_KNP,U,-52.25,,-,1.62,5.86,9999
M18_KNP,M35_KNP,U,-37.52,,-,0.99,4.2,9999
M18_KNP,M37_KNP,U,-47.63,,-,0.75,4.25,9999
M18_KNP,M38_KNP,U,-41.06,,-,1.54,4.09,9999
M18_KNP,M39_KNP,U,-41.02,,-,1.1,4,9999
M18_KNP,M40_KNP,U,-47.39,,-,2.56,6.33,9999
M18_KNP,M41_KNP,HS,-47.73,,0.2,-,1.51,9999
M18_KNP,M42_KNP,U,-45.6,,-,0.39,2.95,9999
M18_KNP,M43_KNP,U,-44.39,,-,0.13,3.1,9999
M18_KNP,M44_KNP,U,-45.84,,-,1.43,4.61,9999
M18_KNP,M45_KNP,U,-48.11,,-,2.3,6.4,9999
M18_KNP,M46_KNP,HS,-45.73,,0.06,-,1.27,9999
M18_KNP,M47_KNP,PO,-44.84,,3.66,0.92,2.28,-
M18_KNP,M48_KNP,U,-46.44,,-,0.29,1.75,1.35
M18_KNP,M49_KNP,FS,-35.82,,2.68,1,-,0.39
M18_KNP,M50_KNP,HS,-51.89,,1.12,-,0.23,9999
M18_KNP,M51_KNP,U,-37.28,,-,0.45,1.47,9999
M18_KNP,M53_KNP,U,-46.15,,-,1.75,4.72,9999
M18_KNP,M54_KNP,HS,-37.02,,0.05,-,1.43,9999
M18_KNP,M55_KNP,U,-46.35,,-,0.75,3.1,9999
M18_KNP,M56_KNP,U,-35.42,,-,0.37,2.43,1.13
M18_KNP,M57_KNP,U,-39.44,,-,0.89,3.5,9999
M18_KNP,M58_KNP,HS,-45.12,,0.51,-,1.32,9999
M18_KNP,M61_KNP,U,-48.68,,-,0.3,2.78,9999
M18_KNP,M62_KNP,U,-41.31,,-,0.66,3.65,2.15
M18_KNP,M63_KNP,U,-66.02,,-,4.1,9.62,9999
M18_KNP,M65_KNP,U,-47.82,,-,2.57,6.35,9999
M18_KNP,M66_KNP,HS,-42.78,,0.44,-,2.55,9999
M18_KNP,M67_KNP,HS,-44.89,,0.47,-,2.73,0.8
M18_KNP,M68_KNP,U,-45.03,,-,0.31,2.21,9999
M18_KNP,M69_KNP,U,-35.78,,-,1.76,4.81,9999
M18_KNP,M70_KNP,U,-45.91,,-,2.46,6.45,9999
M18_KNP,M73_KNP,U,-44.46,,-,1.2,4.67,9999
M18_KNP,M1_KNP,U,-39.48,,-,0.71,3.83,9999
M18_KNP,M2_KNP,U,-39.6,,-,1.62,5.36,9999
M18_KNP,M3_KNP,HS,-44.49,,2.11,-,0.87,9999
M18_KNP,M4_KNP,U,-43.23,,-,1.03,3.61,9999
M18_KNP,M5_KNP,U,-42,,-,1.67,4.34,9999
M18_KNP,M6_KNP,U,-46.86,,-,1.21,3.66,9999
M18_KNP,M7_KNP,HS,-40.97,,0.14,-,3.12,0.62
M18_KNP,M8_KNP,U,-55.28,,-,1.27,4.63,9999
M18_KNP,M9_KNP,U,-47.1,,-,2.24,6.16,9999
M18_KNP,M10_KNP,U,-44.42,,-,1.28,4.05,9999
M18_KNP,M11_KNP,HS,-39.34,,0.23,-,0.76,0.73
M18_KNP,M12_KNP,U,-41.73,,-,0.79,2.78,9999
M18_KNP,M13_KNP,HS,-39.03,,0.61,-,0.38,0.39
M18_KNP,M14_KNP,U,-50.13,,-,2,5.83,9999
M18_KNP,M15_KNP,U,-46.58,,-,2.28,6.26,9999
M18_KNP,M16_KNP,U,-41.18,,-,0.28,3.89,1.06
M18_KNP,M17_KNP,U,-41.22,,-,0.76,4.53,2
M19_KNP,F13_KNP,U,-50.69,,-,1.93,6.13,9999
M19_KNP,F14_KNP,HS,-48.58,,0.59,-,1.01,9999
M19_KNP,F15_KNP,U,-53.43,,-,3.2,7.86,9999
M19_KNP,F16_KNP,HS,-44.3,,0.36,-,1.45,0.23
M19_KNP,F17_KNP,U,-56.64,,-,3.05,7.42,9999
M19_KNP,F18_KNP,U,-55.21,,-,2.44,6.12,9999
M19_KNP,F19_KNP,HS,-50.22,,0.72,-,1.98,9999
M19_KNP,F20_KNP,U,-51.65,,-,3.92,8.91,9999
M19_KNP,F21_KNP,U,-51.1,,-,2.58,6.19,9999
M19_KNP,F22_KNP,U,-53.36,,-,2.75,6.83,9999
M19_KNP,F23_KNP,U,-49.2,,-,1.05,3.64,9999
M19_KNP,F24_KNP,U,-58.68,,-,0.2,3.13,9999
M19_KNP,F25_KNP,U,-46.52,,-,1.41,4.24,9999
M19_KNP,F26_KNP,U,-58.32,,-,3.13,7.68,9999
M19_KNP,F27_KNP,U,-50.33,,-,2.12,5.84,9999
M19_KNP,F28_KNP,U,-47.51,,-,0.27,1.79,9999
M19_KNP,F29_KNP,U,-47.35,,-,1.56,4.23,9999
M19_KNP,F30_KNP,U,-56.55,,-,0.63,5.01,9999
M19_KNP,F31_KNP,U,-56.02,,-,3.24,7.92,9999
M19_KNP,F32_KNP,U,-50.25,,-,1.36,4.38,9999
M19_KNP,F33_KNP,U,-59.35,,-,2.31,6.69,9999
M19_KNP,F34_KNP,U,-56.18,,-,2.51,6.79,9999
M19_KNP,F35_KNP,U,-48.37,,-,2.11,5.72,9999
M19_KNP,F36_KNP,U,-46.42,,-,1.87,4.99,9999
M19_KNP,F37_KNP,U,-51.98,,-,2.71,6.75,9999
M19_KNP,F38_KNP,HS,-44.06,,0.07,-,1.96,0.52
M19_KNP,F40_KNP,U,-42.6,,-,0.52,3.23,1.46
M19_KNP,F41_KNP,U,-48.82,,-,2.54,5.87,9999
M19_KNP,F42_KNP,HS,-43.61,,0.54,-,1.83,0.13
M19_KNP,F43_KNP,HS,-43.99,,0.49,-,1.14,9999
M19_KNP,F44_KNP,HS,-53.17,,0.83,-,2.51,9999
M19_KNP,F45_KNP,PO,-42.6,,2.27,0.66,1.29,-
M19_KNP,F46_KNP,U,-52.11,,-,2.45,6.03,9999
M19_KNP,F47_KNP,HS,-47.26,,0.44,-,0.76,9999
M19_KNP,F48_KNP,U,-53.07,,-,1.51,4.54,9999
M19_KNP,F49_KNP,U,-55.61,,-,0.18,1.44,9999
M19_KNP,F50_KNP,U,-51.94,,-,2.55,6.57,9999
M19_KNP,F51_KNP,U,-58.39,,-,3.8,8.97,9999
M19_KNP,M33_KNP,U,-52.2,,-,1.83,5.01,9999
M19_KNP,M34_KNP,U,-61,,-,1.15,3.09,9999
M19_KNP,M35_KNP,PO,-43.54,,2.73,0.91,2.06,-
M19_KNP,M37_KNP,U,-56.37,,-,4.02,9.03,9999
M19_KNP,M38_KNP,U,-49.8,,-,0.74,4.05,9999
M19_KNP,M39_KNP,U,-49.77,,-,2.51,6.69,9999
M19_KNP,M40_KNP,HS,-55.61,,0.52,-,1.54,9999
M19_KNP,M41_KNP,HS,-56.5,,0.18,-,3.57,9999
M19_KNP,M42_KNP,FS,-49.96,,4.39,0.48,-,9999
M19_KNP,M43_KNP,U,-54.26,,-,2.75,7.28,9999
M19_KNP,M44_KNP,U,-54.58,,-,1.41,5.22,9999
M19_KNP,M45_KNP,U,-56.86,,-,4.67,10.64,9999
M19_KNP,M46_KNP,U,-54.53,,-,1.03,4.61,9999
M19_KNP,M47_KNP,U,-57.24,,-,2.01,5.45,9999
M19_KNP,M48_KNP,HS,-55.11,,0.08,-,2.52,9999
M19_KNP,M49_KNP,U,-47.25,,-,1.5,4.4,9999
M19_KNP,M50_KNP,U,-61.76,,-,4.16,9.63,9999
M19_KNP,M51_KNP,U,-46.03,,-,0.32,2.5,9999
M19_KNP,M53_KNP,U,-54.89,,-,0.2,2.33,9999
M19_KNP,M54_KNP,U,-45.82,,-,0.58,2.83,9999
M19_KNP,M55_KNP,PO,-51.04,,4.05,0.78,1.51,-
M19_KNP,M56_KNP,HS,-43.91,,0.25,-,1.7,0.29
M19_KNP,M57_KNP,U,-48.19,,-,0.6,3.72,9999
M19_KNP,M58_KNP,U,-54.37,,-,2.57,6.94,9999
M19_KNP,M61_KNP,U,-57.43,,-,3,7.71,9999
M19_KNP,M62_KNP,FS,-48.51,,1.55,0.42,-,9999
M19_KNP,M63_KNP,U,-74.76,,-,0.86,4.66,9999
M19_KNP,M65_KNP,U,-56.57,,-,2.43,5.83,9999
M19_KNP,M66_KNP,U,-51.97,,-,3.11,8.26,9999
M19_KNP,M67_KNP,U,-54.1,,-,2.51,6.91,9999
M19_KNP,M68_KNP,U,-53.77,,-,2.54,6.74,9999
M19_KNP,M69_KNP,U,-41.18,,-,0.54,3.49,9999
M19_KNP,M70_KNP,U,-54.66,,-,2.9,6.96,9999
M19_KNP,M73_KNP,U,-53.2,,-,3.44,8.5,9999
M19_KNP,M1_KNP,HS,-47.47,,0.76,-,1.34,9999
M19_KNP,M2_KNP,U,-48.35,,-,0.66,1.94,9999
M19_KNP,M3_KNP,U,-55.35,,-,2.91,6.79,9999
M19_KNP,M4_KNP,U,-51.98,,-,1.02,4.79,9999
M19_KNP,M5_KNP,U,-50.75,,-,1.79,5.97,9999
M19_KNP,M6_KNP,U,-55.61,,-,2.63,7.27,9999
M19_KNP,M7_KNP,U,-49.86,,-,3.31,8.49,9999
M19_KNP,M8_KNP,U,-64.03,,-,2.47,7.59,9999
M19_KNP,M9_KNP,U,-55.85,,-,0.36,2.89,9999
M19_KNP,M10_KNP,U,-53.17,,-,1.7,5.63,9999
