Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
F28_KNP,F27_KNP,U,-42.32,,-,2.84,7.36,9999
F29_KNP,F13_KNP,HS,-41.11,,1.39,-,0.83,9999
F29_KNP,F14_KNP,U,-40.98,,-,0.76,3.97,9999
F29_KNP,F15_KNP,PO,-42.96,,2.29,0.86,3.13,-
F29_KNP,F16_KNP,U,-36.48,,-,0.46,1.56,9999
F29_KNP,F17_KNP,U,-48.46,,-,2.87,6.97,9999
F29_KNP,F18_KNP,U,-47.03,,-,2.38,6.42,9999
F29_KNP,F19_KNP,HS,-42.27,,0.48,-,0.78,9999
F29_KNP,F20_KNP,HS,-42.72,,0.75,-,2.29,9999
F29_KNP,F21_KNP,U,-42.92,,-,3.05,6.73,9999
F29_KNP,F22_KNP,U,-45.18,,-,3.93,9.19,9999
F29_KNP,F23_KNP,U,-41.02,,-,2.73,6.55,9999
F29_KNP,F24_KNP,U,-50.5,,-,2.53,6.95,9999
F29_KNP,F25_KNP,HS,-37.87,,0.48,-,0.82,9999
F29_KNP,F26_KNP,U,-50.14,,-,2.94,8.01,9999
F29_KNP,F27_KNP,U,-42.15,,-,0.8,3.51,9999
F29_KNP,F28_KNP,U,-39.33,,-,1.55,4.49,9999
F30_KNP,F13_KNP,U,-51.71,,-,0.7,4.73,9999
F30_KNP,F14_KNP,U,-50.19,,-,3.55,9.26,9999
F30_KNP,F15_KNP,U,-54.45,,-,3.51,7.35,9999
F30_KNP,F16_KNP,U,-45.69,,-,0.76,3.32,9999
F30_KNP,F17_KNP,U,-57.66,,-,2.17,5.59,9999
F30_KNP,F18_KNP,U,-56.23,,-,2.72,6.87,9999
F30_KNP,F19_KNP,U,-51.96,,-,2.83,7.69,9999
F30_KNP,F20_KNP,U,-52.68,,-,1.21,4.09,9999
F30_KNP,F21_KNP,U,-52.12,,-,0.06,2.3,9999
F30_KNP,F22_KNP,HS,-53.58,,0.8,-,2,9999
F30_KNP,F23_KNP,U,-50.22,,-,0.91,3.59,9999
F30_KNP,F24_KNP,U,-59.7,,-,3.34,8.58,9999
F30_KNP,F25_KNP,U,-47.55,,-,0.75,3.45,9999
F30_KNP,F26_KNP,U,-59.35,,-,5.15,10.76,9999
F30_KNP,F27_KNP,U,-51.35,,-,3.1,7.42,9999
F30_KNP,F28_KNP,HS,-48.11,,0.42,-,2.4,9999
F30_KNP,F29_KNP,U,-48.37,,-,2.41,6.17,9999
F31_KNP,F13_KNP,U,-51.18,,-,0.27,2.09,9999
F31_KNP,F14_KNP,U,-49.66,,-,3.45,7.85,9999
F31_KNP,F15_KNP,U,-53.93,,-,2.78,7.21,9999
F31_KNP,F16_KNP,U,-45.16,,-,0.51,3.74,9999
F31_KNP,F17_KNP,U,-57.13,,-,2.71,7.07,9999
F31_KNP,F18_KNP,U,-55.7,,-,2.69,6.69,9999
F31_KNP,F19_KNP,U,-51.43,,-,4.19,10.08,9999
F31_KNP,F20_KNP,U,-52.15,,-,1.71,5.02,9999
F31_KNP,F21_KNP,HS,-50.62,,0.97,-,2.23,9999
F31_KNP,F22_KNP,HS,-53.47,,0.38,-,2.07,9999
F31_KNP,F23_KNP,U,-49.69,,-,0.98,3.94,9999
F31_KNP,F24_KNP,U,-59.17,,-,3.65,8.62,9999
F31_KNP,F25_KNP,HS,-46.18,,0.84,-,2.61,0.28
F31_KNP,F26_KNP,U,-58.82,,-,2.5,7.3,9999
F31_KNP,F27_KNP,U,-50.82,,-,1.52,4.49,9999
F31_KNP,F28_KNP,U,-48.01,,-,0.07,1.21,9999
F31_KNP,F29_KNP,U,-47.84,,-,3.96,9.46,9999
F31_KNP,F30_KNP,PO,-46.18,,10.86,3.47,1.61,-
F32_KNP,F13_KNP,U,-45.41,,-,0.07,3.19,9999
F32_KNP,F14_KNP,U,-43.89,,-,1.56,5.27,9999
F32_KNP,F15_KNP,PO,-42.11,,6.04,2.36,1.03,-
F32_KNP,F16_KNP,U,-39.38,,-,1.52,4.06,9999
F32_KNP,F17_KNP,U,-51.36,,-,4.64,10.23,9999
F32_KNP,F18_KNP,U,-49.93,,-,3.24,8.52,9999
F32_KNP,F19_KNP,U,-45.66,,-,2.47,5.48,9999
F32_KNP,F20_KNP,HS,-46.36,,0.02,-,1.42,9999
F32_KNP,F21_KNP,HS,-45.38,,0.44,-,1.96,9999
F32_KNP,F22_KNP,U,-48.08,,-,2.02,6.35,9999
F32_KNP,F23_KNP,U,-43.92,,-,2.97,7.52,9999
F32_KNP,F24_KNP,U,-53.4,,-,2.37,6.76,9999
F32_KNP,F25_KNP,HS,-41.23,,0.01,-,2.29,0.48
F32_KNP,F26_KNP,U,-53.04,,-,3.22,8.83,9999
F32_KNP,F27_KNP,U,-45.05,,-,1.46,5.21,9999
F32_KNP,F28_KNP,U,-42.23,,-,0.09,1.78,9999
F32_KNP,F29_KNP,PO,-39.79,,2.28,0.69,0.7,-
F32_KNP,F30_KNP,HS,-51.18,,0.09,-,2.97,9999
F32_KNP,F31_KNP,U,-50.74,,-,0.86,4.54,9999
F33_KNP,F13_KNP,U,-54.51,,-,1.53,5.73,9999
F33_KNP,F14_KNP,U,-52.99,,-,0.86,5.01,9999
F33_KNP,F15_KNP,U,-57.26,,-,3.29,8.19,9999
F33_KNP,F16_KNP,U,-48.49,,-,3.56,8.47,9999
F33_KNP,F17_KNP,U,-60.47,,-,5.42,11.32,9999
F33_KNP,F18_KNP,U,-59.03,,-,3.41,8.67,9999
F33_KNP,F19_KNP,U,-54.77,,-,2.89,6.73,9999
F33_KNP,F20_KNP,HS,-53.56,,1.92,-,0.77,9999
F33_KNP,F21_KNP,U,-54.92,,-,3.25,8.17,9999
F33_KNP,F22_KNP,HS,-55.11,,2.08,-,2.38,9999
F33_KNP,F23_KNP,U,-53.02,,-,3.57,8.75,9999
F33_KNP,F24_KNP,U,-62.5,,-,1.34,6.16,9999
F33_KNP,F25_KNP,U,-50.35,,-,2.03,6.23,9999
F33_KNP,F26_KNP,HS,-59.6,,2.55,-,3.09,9999
F33_KNP,F27_KNP,U,-54.16,,-,0.76,3.61,9999
F33_KNP,F28_KNP,U,-51.34,,-,2.46,6.74,9999
F33_KNP,F29_KNP,U,-51.17,,-,2.34,6.25,9999
F33_KNP,F30_KNP,HS,-57.06,,3.31,-,0.95,9999
F33_KNP,F31_KNP,HS,-57.49,,2.36,-,2.04,9999
F33_KNP,F32_KNP,U,-54.07,,-,2.93,5.92,9999
F34_KNP,F13_KNP,HS,-50.69,,0.66,-,1.74,9999
F34_KNP,F14_KNP,U,-49.82,,-,1.19,4.74,9999
F34_KNP,F15_KNP,U,-54.09,,-,0.48,3.16,9999
F34_KNP,F16_KNP,U,-45.32,,-,2.14,6.36,9999
F34_KNP,F17_KNP,U,-57.3,,-,4.67,9.48,9999
F34_KNP,F18_KNP,HS,-54.95,,0.91,-,2.47,9999
F34_KNP,F19_KNP,U,-51.6,,-,0.62,3.19,9999
F34_KNP,F20_KNP,PO,-50.08,,2.24,0.66,1.48,-
F34_KNP,F21_KNP,U,-51.76,,-,1.41,5.02,9999
F34_KNP,F22_KNP,U,-54.02,,-,1.01,3.22,9999
F34_KNP,F23_KNP,U,-49.86,,-,3.64,9.3,9999
F34_KNP,F24_KNP,U,-59.34,,-,3.67,9.14,9999
F34_KNP,F25_KNP,U,-47.18,,-,0.62,3.95,1.57
F34_KNP,F26_KNP,U,-58.98,,-,1.43,4.31,9999
F34_KNP,F27_KNP,U,-50.99,,-,0,2.93,9999
F34_KNP,F28_KNP,U,-48.17,,-,1.24,4.74,9999
F34_KNP,F29_KNP,U,-48,,-,0.12,2.35,9999
F34_KNP,F30_KNP,HS,-54.56,,2.64,-,0.82,9999
F34_KNP,F31_KNP,FS,-54.36,,2.32,0.03,-,9999
F34_KNP,F32_KNP,HS,-50.44,,0.46,-,1.45,9999
F34_KNP,F33_KNP,FS,-54.36,,5.65,0.4,-,9999
F35_KNP,F13_KNP,U,-43.53,,-,2.87,7.09,9999
F35_KNP,F14_KNP,U,-42.01,,-,2.35,5.38,9999
F35_KNP,F15_KNP,U,-46.27,,-,1.91,5.72,9999
