pred,estimate
438.2781066894531,450
491.05047607421875,450
401.134765625,450
522.2227783203125,450
367.7582092285156,450
385.7678527832031,450
359.5987243652344,450
410.9978332519531,450
438.46612548828125,450
445.0736389160156,450
543.3731079101562,450
341.14141845703125,450
435.88568115234375,450
420.7642517089844,450
520.313232421875,450
568.7866821289062,450
650.1303100585938,450
421.2816467285156,450
515.1617431640625,450
418.0907287597656,450
425.5948486328125,450
372.9945068359375,450
444.8110656738281,450
365.47100830078125,450
320.5396728515625,450
444.8152770996094,450
293.735595703125,450
428.30731201171875,450
578.7063598632812,450
482.2308654785156,450
370.1829833984375,450
468.85345458984375,450
478.7312927246094,450
501.111328125,450
442.0475769042969,450
334.32208251953125,450
386.1126708984375,450
382.3501892089844,450
372.7014465332031,450
361.3140563964844,450
403.1591796875,450
484.1608581542969,450
507.44305419921875,450
389.4758605957031,450
499.7611389160156,450
514.1270141601562,450
499.4835205078125,450
464.0117492675781,450
413.2475280761719,450
524.2966918945312,450
383.0704650878906,450
505.870361328125,450
418.9895935058594,450
579.1636962890625,450
560.2947998046875,450
446.9035949707031,450
501.383544921875,450
484.1231384277344,450
513.0407104492188,450
420.4600830078125,450
402.36578369140625,450
395.5082702636719,450
469.782958984375,450
381.9286193847656,450
533.36962890625,450
429.2467041015625,450
421.31402587890625,450
557.2886352539062,450
547.5737915039062,450
352.64654541015625,450
481.4727783203125,450
480.49761962890625,450
450.9664001464844,450
347.6361083984375,450
425.5275573730469,450
397.019287109375,450
378.44134521484375,450
373.640625,450
358.5655517578125,450
388.6806945800781,450
415.9949035644531,450
459.3227233886719,450
390.19561767578125,450
449.8698425292969,450
426.25970458984375,450
420.3277587890625,450
447.41845703125,450
455.2262268066406,450
333.25567626953125,450
503.2893981933594,450
374.8485412597656,450
564.70458984375,450
654.4328002929688,450
447.91259765625,450
530.1636962890625,450
478.8865051269531,450
321.5036926269531,450
366.7682800292969,450
445.06353759765625,450
594.6589965820312,450
394.0078125,450
481.54974365234375,450
534.3866577148438,450
387.33984375,450
473.9624938964844,450
406.34710693359375,450
631.0275268554688,450
719.419921875,450
467.9552001953125,450
428.7089538574219,450
347.428466796875,450
436.05047607421875,450
428.5146484375,450
437.2244567871094,450
487.4285583496094,450
449.7746887207031,450
512.1240234375,450
506.9728088378906,450
392.4140625,450
470.0536193847656,450
445.4693603515625,450
412.2265319824219,450
494.33709716796875,450
485.21343994140625,450
326.44268798828125,450
422.17193603515625,450
457.2435302734375,450
320.6582336425781,450
431.6776428222656,450
465.97100830078125,450
391.3752746582031,450
475.5995178222656,450
433.58184814453125,450
452.5066833496094,450
339.64752197265625,450
525.4113159179688,450
467.9651794433594,450
415.6159362792969,450
391.98358154296875,450
479.69390869140625,450
373.07830810546875,450
458.7563171386719,450
472.6635437011719,450
541.4549560546875,450
388.3352355957031,450
482.821533203125,450
421.3222961425781,450
332.2456970214844,450
382.69281005859375,450
497.9323425292969,450
407.4364929199219,450
413.2098083496094,450
473.46246337890625,450
503.1297912597656,450
442.4259948730469,450
520.7039794921875,450
418.2514343261719,450
356.2107849121094,450
370.34649658203125,450
552.1414184570312,450
489.2478332519531,450
452.3674011230469,450
506.66192626953125,450
509.7640380859375,450
432.66973876953125,450
457.8612976074219,450
459.51446533203125,450
410.1783447265625,450
454.46868896484375,450
633.62451171875,450
303.8215026855469,450
490.27972412109375,450
492.8718566894531,450
394.2379150390625,450
544.1095581054688,450
415.8724670410156,450
579.9064331054688,450
422.8861999511719,450
473.35308837890625,450
465.16241455078125,450
536.0682373046875,450
418.572021484375,450
609.0731201171875,450
413.94189453125,450
415.6259460449219,450
323.832763671875,450
469.89794921875,450
389.7944641113281,450
458.7748718261719,450
535.4751586914062,450
520.872314453125,450
359.8730163574219,450
476.21795654296875,450
474.47625732421875,450
384.9415588378906,450
438.0533142089844,450
372.63067626953125,450
399.03033447265625,450
618.4253540039062,450
591.8018798828125,450
565.3916625976562,450
540.9107666015625,450
355.3947448730469,450
458.8163146972656,450
434.48040771484375,450
533.80712890625,450
423.22845458984375,450
535.9146728515625,450
504.6016845703125,450
470.9073486328125,450
364.0177917480469,450
521.312255859375,450
317.8864440917969,450
372.8398132324219,450
381.848388671875,450
660.7182006835938,450
382.16162109375,450
560.4735107421875,450
621.3033447265625,450
560.3457641601562,450
477.07415771484375,450
379.0193176269531,450
693.3267211914062,450
450.96441650390625,450
432.3580322265625,450
375.4861755371094,450
512.6322631835938,450
501.7565002441406,450
438.2605285644531,450
364.210693359375,450
390.288818359375,450
520.55029296875,450
401.5867614746094,450
402.21099853515625,450
550.2266845703125,450
455.5517578125,450
539.5687866210938,450
334.6387634277344,450
439.1779479980469,450
573.0433349609375,450
432.4588623046875,450
444.5294189453125,450
383.290283203125,450
453.04022216796875,450
749.5963134765625,450
436.9638671875,450
422.2120361328125,450
512.3469848632812,450
366.8691101074219,450
352.7032775878906,450
429.0653076171875,450
525.4534912109375,450
350.4150695800781,450
484.3326721191406,450
494.94403076171875,450
379.2607727050781,450
447.448974609375,450
531.3748779296875,450
362.40966796875,450
428.14825439453125,450
529.5753173828125,450
404.9644470214844,450
514.9732666015625,450
458.40863037109375,450
402.1324768066406,450
452.8345947265625,450
525.7542114257812,450
360.10479736328125,450
435.0396423339844,450
500.2239990234375,450
447.131591796875,450
509.3685607910156,450
521.9674072265625,450
425.481201171875,450
498.7337341308594,450
550.2866821289062,450
301.4781494140625,450
459.3549499511719,450
431.54632568359375,450
472.4941711425781,450
493.27142333984375,450
434.820556640625,450
449.5234375,450
465.2349548339844,450
449.42694091796875,450
306.714599609375,450
618.3649291992188,450
376.662353515625,450
359.674072265625,450
486.6856689453125,450
618.53369140625,450
490.5820617675781,450
454.2381286621094,450
332.474609375,450
470.8944396972656,450
384.4482727050781,450
452.470947265625,450
538.6157836914062,450
416.59954833984375,450
408.35150146484375,450
423.9154052734375,450
436.304931640625,450
431.7062683105469,450
336.954345703125,450
601.7930908203125,450
539.407958984375,450
613.8140869140625,450
556.901123046875,450
460.8784484863281,450
511.96282958984375,450
461.9194030761719,450
440.4243469238281,450
412.1779479980469,450
459.3609619140625,450
440.6241760253906,450
463.00994873046875,450
485.4020080566406,450
461.4371643066406,450
390.2854309082031,450
457.2363586425781,450
443.95306396484375,450
542.4067993164062,450
277.9634704589844,450
564.1741943359375,450
392.9773864746094,450
588.40380859375,450
407.90338134765625,450
522.9927368164062,450
529.0563354492188,450
698.3922729492188,450
311.40997314453125,450
532.4024658203125,450
580.31298828125,450
410.7674255371094,450
531.41259765625,450
569.3216552734375,450
