Ind1,Ind2,R,slim_days1,x1,y1,slim_days2,x2,y2
M18_KNP,F32_KNP,PO,119,17.8154058835765,54.9185159614628,194,31.268689684675735,36.261270551162596
M18_KNP,F32_KNP,PO,162,18.418611413042996,53.190049354400614,194,31.268689684675735,36.261270551162596
M18_KNP,F38_KNP,PO,119,17.8154058835765,54.9185159614628,174,29.363052310995677,44.350309223775575
M18_KNP,F38_KNP,PO,162,18.418611413042996,53.190049354400614,174,29.363052310995677,44.350309223775575
M18_KNP,F42_KNP,PO,119,17.8154058835765,54.9185159614628,239,10.24364793743831,22.19627836718737
M18_KNP,F42_KNP,PO,162,18.418611413042996,53.190049354400614,239,10.24364793743831,22.19627836718737
M18_KNP,F43_KNP,PO,119,17.8154058835765,54.9185159614628,239,10.225110234547582,22.18515686575334
M18_KNP,F43_KNP,PO,162,18.418611413042996,53.190049354400614,239,10.225110234547582,22.18515686575334
M18_KNP,F45_KNP,PO,119,17.8154058835765,54.9185159614628,240,9.713479867366884,21.853365443376443
M18_KNP,F45_KNP,PO,162,18.418611413042996,53.190049354400614,240,9.713479867366884,21.853365443376443
M18_KNP,F50_KNP,PO,119,17.8154058835765,54.9185159614628,59,14.661090109194992,19.897835145276176
M18_KNP,F50_KNP,PO,162,18.418611413042996,53.190049354400614,59,14.661090109194992,19.897835145276176
M18_KNP,M47_KNP,PO,119,17.8154058835765,54.9185159614628,194,30.605052823165778,37.03977565154471
M18_KNP,M47_KNP,PO,162,18.418611413042996,53.190049354400614,194,30.605052823165778,37.03977565154471
M19_KNP,F45_KNP,PO,162,18.817163683397425,54.50424003304517,240,9.713479867366884,21.853365443376443
M19_KNP,M35_KNP,PO,162,18.817163683397425,54.50424003304517,136,5.815078917435428,14.707800772012018
M19_KNP,M55_KNP,PO,162,18.817163683397425,54.50424003304517,239,10.14354634385971,22.10359922564212
M20_KNP,F16_KNP,PO,1,14.332982666961987,44.30396970861047,132,37.208050903686534,29.532762183574317
M20_KNP,F16_KNP,PO,161,17.456523874757604,47.91660405402627,132,37.208050903686534,29.532762183574317
M20_KNP,F18_KNP,PO,1,14.332982666961987,44.30396970861047,135,36.929990921522965,29.686609583006724
M20_KNP,F18_KNP,PO,161,17.456523874757604,47.91660405402627,135,36.929990921522965,29.686609583006724
M20_KNP,M58_KNP,PO,1,14.332982666961987,44.30396970861047,287,21.84616338501787,52.25398961329806
M20_KNP,M58_KNP,PO,161,17.456523874757604,47.91660405402627,287,21.84616338501787,52.25398961329806
M21_KNP,F16_KNP,PO,121,18.246214224101873,53.98338308628977,132,37.208050903686534,29.532762183574317
M21_KNP,F21_KNP,PO,121,18.246214224101873,53.98338308628977,152,18.570616795132626,30.711641335581515
M21_KNP,F25_KNP,PO,121,18.246214224101873,53.98338308628977,152,18.644766494456302,30.707934205508515
M21_KNP,F28_KNP,PO,121,18.246214224101873,53.98338308628977,194,31.77475885221298,35.566176711535704
M21_KNP,F38_KNP,PO,121,18.246214224101873,53.98338308628977,174,29.363052310995677,44.350309223775575
M21_KNP,F40_KNP,PO,121,18.246214224101873,53.98338308628977,174,29.34451460810495,44.289140965888414
M21_KNP,F42_KNP,PO,121,18.246214224101873,53.98338308628977,239,10.24364793743831,22.19627836718737
M21_KNP,F43_KNP,PO,121,18.246214224101873,53.98338308628977,239,10.225110234547582,22.18515686575334
M21_KNP,F45_KNP,PO,121,18.246214224101873,53.98338308628977,240,9.713479867366884,21.853365443376443
M21_KNP,F48_KNP,PO,121,18.246214224101873,53.98338308628977,255,9.261168592301035,7.727205001514042
M21_KNP,F50_KNP,PO,121,18.246214224101873,53.98338308628977,59,14.661090109194992,19.897835145276176
M21_KNP,M35_KNP,PO,121,18.246214224101873,53.98338308628977,136,5.815078917435428,14.707800772012018
M21_KNP,M51_KNP,PO,121,18.246214224101873,53.98338308628977,144,24.445097722385125,31.912763490456783
M21_KNP,M54_KNP,PO,121,18.246214224101873,53.98338308628977,239,10.210280739578776,22.136963729944213
M21_KNP,M56_KNP,PO,121,18.246214224101873,53.98338308628977,240,9.7208951709711,21.85892619409346
M21_KNP,M58_KNP,PO,121,18.246214224101873,53.98338308628977,287,21.84616338501787,52.25398961329806
